userName,score,at,content
Estri Kholis,5,2025-12-07 21:47:47,my pertamina memudahkan kita untuk transaksi
Olivia Phandinata0710,5,2025-12-07 21:16:54,terbaik no 1
Jajang Erukman,5,2025-12-07 20:59:11,"ok, kenapa saya tidak bisa akses k subsidi tepat? mohon bantuannya,,,"
wahyudi 1103,5,2025-12-07 19:20:10,Keren dan Aman
Adista Missa,1,2025-12-07 19:19:29,kenapa Niknya salah terus
Hamim Afiat,1,2025-12-07 18:37:57,tidak bisa registrasi karena alasan KTP EDITAN. KTP SAYA ASLI. YANG PALSU ADA DI SOLO
LIONI BASTARA,1,2025-12-07 18:31:57,ini aplikasi rusak bikin barcode aja rusak trus
Alvid Gustiawan,5,2025-12-07 17:51:06,mantap
Ahmad Taufiq83,5,2025-12-07 15:31:20,mantap
rudi yanto,1,2025-12-07 14:50:27,Aplikasi Anda ditutup paksa karena kesalahan penunjuk nol (null pointer exception).
j,3,2025-12-07 13:07:09,sering lelet
Cintya Indriyani,2,2025-12-07 12:47:35,"Maaf Untuk cs bagian chat error terus sudah nunggu no urut eeeh malah nambah bukan ngurangi no urut. via email juga sama kagak di balas2, perbaiki lagi pelayanan nya"
Hadi Boss,5,2025-12-07 12:43:35,excellent
Abdul Majid,1,2025-12-07 11:48:27,"tolong segera kembalikan uang saya. saya beli BBM (pertalit) pakai aplikasi ini. transaksi 2 kali tapi yg diproses cuma 1 kali. dan saldo saya juga terpotong 2 kali. tidak ada keterangan gagal pada mesin EDC. bukti² transaksi sudah saya sampaikan di email pengaduan mypertamina 136 dan sudah berkali-kali. kejadian tgl 30/11/25 saya langsung melapor ke petugas SPBU dan keesokan harinya saya mengirim email disuruh nunggu 3x24 jam, setelah 3x24 jam saya mengirimkan email lagi belum juga selesai."
Syah Alai,5,2025-12-07 10:58:00,ok
Ahmad Assgal,5,2025-12-07 10:12:03,Praktis
ika irawanto,1,2025-12-07 09:22:44,1. pembatasan kuota menghambat produktivitas angkutan barang. 2. aplikasi My pertamina justru memberikan peluang penyalah gunaan subsidi bio-solar
HERI PRASETYO,4,2025-12-07 08:36:44,ok
Agustinus Nainggolan,5,2025-12-07 07:12:33,Mantap
ilmi farij,1,2025-12-07 06:33:01,aplikasi bosok
Pande Surya,1,2025-12-07 06:29:44,bikin ribet masyarakat desa yng gk bisa buat barkode
Raja Batu bara,5,2025-12-07 01:47:48,mantap
Wawan Travel,5,2025-12-07 00:06:33,super cepat kali
cahyo. Dev.,1,2025-12-06 23:50:28,"apa ini mau beli aja susah bgt, aplikasi apaan ini taii aplikasi banyak bug ribet, sekelas pertamina kaya gini"
suryadi wildan,5,2025-12-06 22:15:37,bagus pake go pay pembayaran langsung bisa gak terhambat
henry jokow,5,2025-12-06 21:58:41,baik
DanDachmaTjally Ai,5,2025-12-06 21:02:34,ok bagus mudah dan untung
Adi Wiranto,2,2025-12-06 20:31:36,ko saya gx bisa buka barcode sya ya min
Akbar Ambo,5,2025-12-06 19:13:13,sangat membantu
Muhammad Sodli Suprapto,5,2025-12-06 17:27:07,terimakasih sangat membantu
Opa Mustopa,5,2025-12-06 15:32:39,sangat membantu
JOHN REVELINO LUMBAN GAOL,5,2025-12-06 14:27:27,oke
Saptoji anam,5,2025-12-06 14:13:33,Bagus
samsul hadi,4,2025-12-06 13:07:47,verifikasi kendaraan yang sudah di daftar Lambat verifikasi
Raditya Banyu,5,2025-12-06 12:05:23,Terima kasih pertamina
Syahroni Zain,5,2025-12-06 11:51:17,mantap
Arba Puspa,4,2025-12-06 11:42:49,"sya tukar poin dngn 3 produk di merchantdise poin, udah 3bln berlalu smpe skrang blum dikirim². hrusnya ada opsi pelcakan pketny udah smpe mana gtu, ini mh boro² malah gk nympe².."
Sonya Diabel Melanie Munthe,1,2025-12-06 10:48:35,merepotkan
aa Safei,5,2025-12-06 10:41:58,"tidak repot cari uang tunai,dan kembalian 👍"
Joao Mariano,4,2025-12-06 09:56:19,"sangat repot,jika ada alternatif lain di coba."
Achmad Salim,1,2025-12-06 09:29:08,Brengsek ni Aplikasi Busuk.. Registrasi Data Pribadi sudah terdaftar tapi saat mau masuk Gagal MemProses. diulangi trs yak kek gitu Mulu smpe HP lowbat. mlh Nyampah. mw Komplain ga bs. Tim IT nya blm di bayar utk Biaya Pemeliharaan Aplikasi nya yak.??
praba wiguna,1,2025-12-06 07:46:05,ini bagaimana saya tidak bisa masuk. tidak bisa pemulihan email aneh
Andre Harahap,1,2025-12-06 07:42:28,"aplikasi paling buruk , upload foto KTP gak bisa-bisa, alasanya foto KTP gak asli"
Muadji lukito,3,2025-12-06 07:23:36,sering error cuma pajangan
Hasan basri,1,2025-12-06 07:17:00,apk gak jelas
Waty Syahids,1,2025-12-06 06:25:09,"Tolong ya diperbaiki data area untuk subsidi tepatnya sy daftar tapi tidak ada nama desa saya gmna sih sedangkan desa tetangga muncul, nggak beres nih, Pertamina tolong perbaiki secepatnya di provinsi maluku kabupaten seram bagian Barat kecamatan Huamual seharusnya ada 5 desa tetapi hanya ada 3 desa sj, dan desa kami tidak muncul, tolong cepat diperbaiki, kerja gmna ni"
Pejuang Lendir,4,2025-12-06 06:05:51,saya merasa kesulitan status saya buruh supir dengan nopol AG 8047 UH belum ada setahun Bargot saya selalu hilang di perbarui eh malah keblokir gak bisa ngisi saya minta tolong dengan sangat apa yang pernah saya daftarkan tolong di hapus dan di cabut karena saya sudah gak kerja bawa mobil nopol itu semua saya merasa kesulitan dengan barcot yang gak bisa digunakan trimakasih
Ade Lotha,1,2025-12-06 01:56:50,kenapa pengajuan bikin barcode lama sekali? sudah 5hari dr tanggal pengajuan subsidi bbm masih saja menunggu verivikasi. sebelumnya kendaraan sy sudah terdaftar tp kenapa tiba2 ga bisa di gunakan? kata petugas spbu suruh bikin barcode lagi tp prosesnya sangat lambat serta bertele tele. menyulitkan konsumen. harga naik terus pelayanan gak keurus.
Reni Yulianti,5,2025-12-05 19:59:51,"setelah sekian lama,saya suruh upgrade dan tidak bisa Upgrade nya"
Robi Andri Pamungkas,1,2025-12-05 18:40:38,parah amat sih mo daftar susah mo rubah susah... ga jelas
Zaki Naufal Izzulhaq Fathoni,1,2025-12-05 18:34:18,tidak bisa login padahal nomor sudah benar pin juga benar
